,Image,building,car,crop,door,field,ground,mountain,road,rocky,sand,sea,sidewalk,sign,sky,skyscraper,snowy,tree,trunk,water,window
2641,tallbuilding_urban1059.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
137,coast_n291008.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
297,coast_natu804.jpg,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
2180,street_hexp12.jpg,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
102,coast_land946.jpg,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
1598,mountain_sharp5.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
593,forest_natc49.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0
2334,tallbuilding_a212026.jpg,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
537,forest_nat211.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
719,highway_art803.jpg,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0
1431,mountain_n44009.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
1844,opencountry_n291048.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
1763,opencountry_land655.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
164,coast_n424079.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
801,highway_bost325.jpg,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0
1922,opencountry_nat873.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1780,opencountry_land689.jpg,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
2549,tallbuilding_art854.jpg,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
185,coast_nat1053.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1124,insidecity_gre102.jpg,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
2146,street_gre11.jpg,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
736,highway_bost158.jpg,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
283,coast_natu649.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2617,tallbuilding_urb726.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
871,highway_gre48.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1410,mountain_n344080.jpg,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2000,opencountry_natu864.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1172,insidecity_hous71.jpg,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
176,coast_n708004.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
1163,insidecity_hous37.jpg,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
2532,tallbuilding_art453.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1639,opencountry_cdmc753.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
878,highway_gre493.jpg,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0
2565,tallbuilding_city22.jpg,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
